names,scores,logfoldchanges,pvals,pvals_adj
PLP1,95.68937,2.3966923,0.0,0.0
SLC35E3,56.65319,1.347424,0.0,0.0
CTNNA3,51.148212,1.5103914,0.0,0.0
CPM,49.46511,1.6520674,0.0,0.0
SLC24A2,45.76807,1.4406046,0.0,0.0
THAP2,45.16234,2.696894,0.0,0.0
PPP2R2B,43.987915,0.80264,0.0,0.0
ZFC3H1,43.870323,1.1472079,0.0,0.0
FTH1,41.864185,0.9477685,0.0,0.0
CALM1,41.0132,1.10667,0.0,0.0
PTGDS,40.9991,1.7955065,0.0,0.0
MBP,38.762,1.220266,0.0,0.0
PCDH9,38.498825,0.67369395,0.0,0.0
ACTB,38.0434,0.7226243,0.0,0.0
TMEM19,38.035152,1.7227377,0.0,0.0
ARHGAP21,37.932076,0.68757105,0.0,0.0
CPNE4,37.177963,2.4890895,1.549617585024437e-302,9.86404688037159e-300
RGS6,36.646477,1.9945263,5.20702194802353e-294,3.193987262917633e-291
ANKFY1,36.282524,1.1033753,3.0523483923536684e-288,1.8388763877292094e-285
TF,35.52503,1.5681704,2.0196190800147396e-276,1.0989659500396333e-273
FTL,35.41502,0.8283819,1.0027905659054923e-274,5.3700230669767616e-272
ERBIN,35.004314,0.6265815,1.934152504867381e-268,1.0195703602611068e-265
MAN2A1,34.34599,0.8322405,1.6165766882337194e-258,7.574784407075137e-256
LRRTM3,34.27978,0.88056576,1.5705480622088515e-257,7.258298626676716e-255
CPEB4,34.13208,0.6331791,2.4667050680787553e-255,1.1245841740780132e-252
RAP1B,33.943314,0.82985157,1.530917286482749e-252,6.886474199209134e-250
CRYAB,33.79288,1.4965614,2.5092452459331162e-250,1.0994078813252668e-247
TMSB4X,33.600433,0.7309595,1.6532898938821075e-247,7.060384955683628e-245
COL4A5,33.48648,1.1268544,7.582602755351531e-246,3.1976783644661825e-243
RBFOX1,33.119484,0.8078338,1.5580624565903256e-240,6.1121340811613735e-238
MDM2,32.933853,0.6916292,7.204217189558778e-238,2.730883992406118e-235
SPECC1,32.449158,0.68085283,5.566717554321533e-231,1.997918618405804e-228
LRRC7,32.433083,1.1764302,9.382010031533058e-231,3.331798657198218e-228
ATP1B1,32.38419,1.3000697,4.582933957397526e-230,1.6105671137575034e-227
C10orf90,32.32184,1.4699827,3.451865497282641e-229,1.2005730544517985e-226
IDS,32.246517,1.0286058,3.936424373104017e-228,1.3280314907541022e-225
BRD9,32.041214,1.0210574,2.909939053064918e-225,9.531321731383605e-223
GRID1,32.03213,0.7087249,3.893794023168819e-225,1.2631243169196774e-222
LINC01727,31.847593,3.31031,1.4212832555609964e-222,4.481292821762742e-220
CADM2,31.81845,0.33955845,3.597111069770933e-222,1.123664223711685e-219
ARAP2,31.576841,0.68325007,7.678942590361221e-219,2.3551316924637867e-216
CKB,31.098604,0.9322672,2.5155246948372503e-212,7.57734434193967e-210
PDE8B,30.851913,0.95682013,5.280128239247805e-209,1.5764220036062228e-206
TRIM9,30.412138,0.5761079,3.7961338187225386e-203,1.0946168089080538e-200
UBE2G1,30.296501,0.989368,1.2746682061326927e-201,3.644362819516835e-199
PIK3R1,30.279066,0.5571842,2.162726804532678e-201,6.131421361724281e-199
IGFBP7,30.274702,1.3073305,2.4684680033792188e-201,6.939892085833725e-199
SEPTIN7,29.880392,0.5125842,3.538418407658554e-196,9.705335107250132e-194
PSAP,29.773516,0.68238735,8.605664775196766e-195,2.304200893022328e-192
DLG1,29.287106,0.5359903,1.5137974098632295e-188,3.898548337141662e-186
ADAM12,29.226164,1.3281833,9.02182127909525e-188,2.305827155248761e-185
HTRA1,29.1138,1.0185143,2.4012388197118616e-186,6.045566720941721e-184
DMD,29.062963,0.54812795,1.0553545271109556e-185,2.617977623613405e-183
FLRT2,29.052505,0.9953059,1.4306495070158971e-185,3.523052731255133e-183
RAB21,29.05137,0.8323238,1.478682568952679e-185,3.6149502774461257e-183
MT3,29.044298,1.2680601,1.816301257025248e-185,4.408385288364085e-183
CALM2,28.940504,0.5951285,3.695290900315347e-184,8.718043993282438e-182
SCD,28.808664,1.160629,1.6706806721663406e-182,3.914149572005266e-180
ADAMTSL1,28.513704,1.4733584,7.921980660041812e-179,1.7937171914619502e-176
LIMCH1,28.434402,0.7546815,7.598243764846845e-178,1.7089463326309203e-175
NRXN3,28.169872,0.6532954,1.3683945328428003e-174,3.0486150342304043e-172
GRIA1,28.16974,0.8074277,1.3735349473960974e-174,3.0486150342304043e-172
NLGN4Y,28.168247,0.6354457,1.4326179331724202e-174,3.158969360224702e-172
ZZEF1,28.135813,0.79720324,3.5742008901831105e-174,7.779536479490813e-172
GUCY1A2,28.031431,0.6606493,6.727804780137302e-173,1.4549740376121291e-170
ATP10B,27.57245,0.86191016,2.3816448185524395e-167,5.053430895817839e-165
AC092924.2,27.217037,1.1333067,4.0829872506259946e-163,8.450781648734305e-161
GAPDH,27.185986,0.85319257,9.512749600565578e-163,1.9450402016623084e-160
NTM,26.778246,0.52779925,5.791708583440306e-158,1.149381602820739e-155
SCG2,26.737743,1.6429827,1.71455237204029e-157,3.382681483948729e-155
SHTN1,26.634108,0.9237138,2.7347279428063685e-156,5.333035641991818e-154
CCDC7,26.631287,0.70845884,2.948479790386965e-156,5.716831188981898e-154
OTUD7A,26.256771,0.9451826,5.982033533807561e-152,1.1402026289834218e-149
AGMO,26.062267,0.88518995,9.768096376846722e-150,1.8308125970315434e-147
PDE8A,26.019695,0.54639614,2.9646976936517627e-149,5.525967187333123e-147
FBXL17,25.98651,0.4739396,7.0356469457867745e-149,1.297058038306057e-146
SPOCK1,25.950924,0.7057436,1.775163388452731e-148,3.2548199584907493e-146
TMEM132B,25.844158,0.62590766,2.830352166111956e-147,5.133741453124681e-145
KCNMA1,25.782404,0.5632893,1.3969197509925184e-146,2.506802214852904e-144
AMER2,25.72964,0.94471455,5.448359389012611e-146,9.623628309273217e-144
SYNDIG1,25.659956,0.6505168,3.273765826593471e-145,5.752449879780412e-143
CLDND1,25.634317,0.95070434,6.32498181844021e-145,1.105626485019261e-142
EDIL3,25.611849,1.2373204,1.1257904244418176e-144,1.9477328999689027e-142
GATM,25.590746,0.93880934,1.9340080612082314e-144,3.328960712295005e-142
PDE4D,25.436222,0.49694547,1.002897988864026e-142,1.7088267399144267e-140
TMEM144,25.426003,1.2534927,1.3010712731917786e-142,2.1837931116254246e-140
RORB,25.33002,0.9704444,1.4920958994135987e-141,2.443632978568766e-139
PTN,25.270037,0.43842587,6.822087776295147e-141,1.1065229582157181e-138
SNHG14,25.103458,0.42160815,4.5592094521888286e-139,7.324478537547357e-137
ITGA2,25.082382,1.2503775,7.743307045625756e-139,1.2380850701340102e-136
B2M,24.962828,0.56359774,1.5496134960790367e-137,2.431595838010161e-135
PIP4K2A,24.848581,0.62817097,2.6788163886025096e-136,4.18403835658717e-134
SYT11,24.73363,0.6343902,4.6516118576827644e-135,7.231863098739328e-133
SLC4A8,24.67062,0.63778204,2.2113333124216257e-134,3.42219045693433e-132
MAP1B,24.326677,0.54241496,1.0236533455158776e-130,1.56266936279046e-128
GPM6B,24.294365,0.3721505,2.2485024336635355e-130,3.417014711914716e-128
RNF220,24.245886,0.90087587,7.30691652564963e-130,1.1005064411867928e-127
ADD3,24.234344,0.6850841,9.670475111411481e-130,1.4500125281497296e-127
PER3,24.206627,0.75933796,1.8944842853678355e-129,2.8280626697103834e-127
DOCK1,24.18232,0.54332644,3.414585811538821e-129,5.074796542902432e-127
TLE4,24.027824,0.66915935,1.4238918116163192e-127,2.0705964676077482e-125
ZMYND11,24.00511,0.5319998,2.459302601292129e-127,3.5457047803330153e-125
SORCS3,23.958263,0.52487355,7.578343157621488e-127,1.0879598430156432e-124
CCSER2,23.91484,0.5197591,2.1466312996269326e-126,3.0686822099793994e-124
SORL1,23.837069,0.5356009,1.3790816313585197e-125,1.9548771847538815e-123
SERINC5,23.805193,0.5919067,2.9508567384256407e-125,4.1480439076777435e-123
RYR3,23.793983,0.97305346,3.854872680669243e-125,5.396341893267147e-123
LAMP2,23.787355,0.5695645,4.5145088740356595e-125,6.29363578030335e-123
WDR41,23.76003,0.6099815,8.654181296335896e-125,1.2015066435987e-122
GPC1,23.721254,1.000591,2.176337243309016e-124,3.0091430154719787e-122
APLP1,23.48996,1.4309458,5.166159227648864e-122,7.027851365451198e-120
SLC6A1,23.18861,0.7484725,5.932899596720833e-119,7.849342497826305e-117
PEBP1,23.156557,0.83533543,1.2486357614312375e-118,1.639113800910726e-116
CYB5D2,23.151087,1.2383239,1.4175861045501811e-118,1.8536861398918395e-116
CDKN2B-AS1,23.033148,0.8484252,2.170391857982683e-117,2.8271239425776744e-115
SORT1,23.032494,0.4974931,2.2034207475995254e-117,2.859107913914046e-115
CXCL14,23.019691,2.8285053,2.9604599506532516e-117,3.8267064120761974e-115
RAB3IP,23.004463,0.566134,4.205601491219997e-117,5.4154342560797345e-115
CST3,22.987478,0.83987814,6.219766878448648e-117,7.9483437567508355e-115
TLN2,22.977213,0.531473,7.878428519522843e-117,1.002998275332612e-114
SYT1,22.950228,0.6171771,1.4657578075411812e-116,1.8590327501134148e-114
UNC5C,22.881718,1.3562537,7.066175516147192e-116,8.928522973342988e-114
SPNS2,22.881525,1.841422,7.097479733241522e-116,8.93461469255109e-114
CAMK2B,22.851686,1.4417782,1.4060626256109013e-115,1.763432520454832e-113
KCNH8,22.816715,0.7028795,3.12936622970536e-115,3.9102010552433236e-113
GPR158,22.814018,0.4802561,3.3284448024607414e-115,4.143606726960075e-113
RNPC3,22.753914,0.53649807,1.312531055782913e-114,1.622009532195902e-112
SLF2,22.720343,0.5531777,2.8199827976386823e-114,3.4595548961431355e-112
PTPRT,22.653387,0.9508735,1.2918996540910192e-113,1.5791600952923447e-111
SPARCL1,22.645441,0.50628847,1.5471552411824338e-113,1.8843457173924826e-111
USP54,22.642035,0.5322683,1.6714755205941172e-113,2.0284377567727958e-111
AL158077.2,22.625582,2.1414187,2.4273848549274194e-113,2.9247386732387983e-111
PEAK1,22.526827,0.41362298,2.266238238505392e-112,2.7208569200162424e-110
ZNF536,22.516167,0.69479924,2.8825556557129224e-112,3.448538303432158e-110
PJA2,22.515047,0.5270927,2.956182538249586e-112,3.524124745333084e-110
TENM2,22.485582,0.8137426,5.744252871350707e-112,6.823727433829535e-110
ADAMTS9,22.465614,0.77162117,9.005870519822198e-112,1.0623463417036416e-109
DPY19L1,22.462961,0.57845664,9.560112761859332e-112,1.1237962517311786e-109
ITPKB,22.440773,0.7584095,1.574842502390269e-111,1.8448076910812674e-109
LANCL1,22.429447,0.6484118,2.0314357885468592e-111,2.371437688519218e-109
LMCD1-AS1,22.4033,0.52744603,3.654831866775256e-111,4.2518297479102353e-109
