leiden,GC,GS
0,0.12468072468072468,0.009381931538876566
1,0.0337986337986338,0.08791439362148552
2,0.008019008019008018,0.10461003536958216
3,0.05743985743985744,0.09477849049817157
4,0.005761805761805762,0.009621725316228043
5,0.0010098010098010099,0.04610035369582159
6,0.026433026433026433,0.07955158563635274
7,0.02001782001782002,0.0005994844433786943
8,0.04766854766854767,0.004825849769198489
9,0.028155628155628155,0.00011989688867573886
10,0.0003861003861003861,0.07502547808884359
11,0.0051084051084051086,0.014717343084946946
12,0.010305910305910305,0.010940591091661171
13,0.12595782595782595,0.0005994844433786943
14,0.003177903177903178,0.017564894190995745
15,0.00784080784080784,0.01741502308015107
16,0.0034452034452034453,0.015616569750014988
17,0.0006831006831006831,0.04547089503027396
18,0.0026136026136026136,0.005245488879563575
19,0.0016335016335016334,0.08377795096217253
20,0.09441639441639442,0.0011989688867573886
21,0.283011583011583,0.0024878604400215814
22,0.03267003267003267,2.9974222168934716e-05
23,0.0005049005049005049,0.04280318925723878
24,0.07130977130977131,0.0017385048857982135
25,0.0005643005643005643,0.15598585216713626
26,0.003088803088803089,0.06561357232779809
27,0.000297000297000297,0.006264612433307355
