leiden,cell_type,n_cells
0,Tumor_glioma,4511
1,Tumor_glioma,4071
2,Tumor_glioma,3760
3,Microglia_Myeloid,5096
4,Endothelial,515
5,Tumor_glioma,1572
6,Oligodendrocyte,3544
7,Tumor_glioma,694
8,Astrocyte,1766
9,Neuron,952
10,Tumor_glioma,2516
11,Neuron,663
12,T_NK_cell,712
13,Tumor_glioma,4261
14,Tumor_glioma,693
15,Neuron,845
16,Astrocyte,637
17,Tumor_glioma,1540
18,Pericyte_Mural,263
19,Neuron,2850
20,Neuron,3219
21,Astrocyte,9612
22,Neuron,1101
23,Astrocyte,1445
24,Tumor_glioma,2459
25,Tumor_glioma,5223
26,Tumor_glioma,2293
27,Tumor_glioma,219
