leiden,Oligodendrocyte,OPC,Astrocyte,NeuralProgenitor_RadialGlia,Neuron_Excitatory,Neuron_Inhibitory,Microglia_Myeloid,T_NK_cell,Endothelial,Pericyte_Mural,Proliferating,assigned
0,-0.10687963733630013,-0.22207416793297885,0.2506524643990844,0.18931289131149395,0.0564428203205502,1.4790399165336536e-05,-0.08398447871252153,-0.009051553324580732,-0.08350496911144749,0.02305681472374437,-0.07128664032636156,Astrocyte
1,-0.2214998282102995,-0.269212707191455,0.8230469724398474,0.23667974616163018,-0.048466079541494185,-0.03957813148281647,-0.08035015799530633,-0.01177855937950232,-0.12047145370784824,0.05596921509303069,-0.07499345794722484,Astrocyte
2,-0.14929859619045327,0.1736067475386032,0.06913201784817624,0.19872480763581996,0.0809096067681159,0.04826574452647649,-0.06004445298148769,-0.00696536764683424,-0.1111230096529709,-0.012671876039669808,-0.013450266952120598,NeuralProgenitor_RadialGlia
3,0.18781947665459534,0.05362765275497307,0.1992117668010306,0.36852710279274664,0.049182453157553825,0.0058454077885922,0.009044042263826354,-0.00022089730167808508,-0.023344276175350304,-0.0028840412560504182,0.07044073955645826,NeuralProgenitor_RadialGlia
4,2.1283482288589126,0.1445675035394648,0.48410008301529833,0.24245188929701364,-0.0358368484278018,-0.014747397188217408,-0.049875835191269625,-0.005885483532073312,-0.013599458189420805,-0.04182101131145867,-0.013457171686234014,Oligodendrocyte
5,0.0171091417313752,0.0573592218021081,0.34979481851815425,0.6542466133069746,0.02494259068036214,0.002244571832472114,0.03060762869754835,-0.005948883476087411,-0.06406849807095942,0.0037239195387961167,0.20534494227999572,NeuralProgenitor_RadialGlia
6,-0.24481380053315716,-0.13770636649303367,0.41809505567202127,0.17672990354090995,-0.0011305918460799587,-0.016009808740572198,-0.045595802883476005,-0.005427119680190481,-0.08327970472320112,-0.012138449281561834,-0.02261240360248713,Astrocyte
7,-0.06836032283108207,-0.18591723150573336,-0.0063550695108937775,0.07339742556523095,-0.06990644185069225,-0.05518090806941728,-0.06633315735940307,-0.01036719575210109,0.7809886259914518,0.1477215270724513,-0.03587010478167921,Endothelial
8,1.3343852773048563,-0.11133043737520223,-0.03534289370860061,-0.013958685748707846,-0.0804531719165454,-0.05427579554926901,-0.07475138043551947,-0.006616451593295005,-0.12196117151961393,0.014352777426915524,-0.05475008983977301,Oligodendrocyte
9,0.06727267690600992,-0.2100279072371267,-0.14291395466488505,0.3135008785755388,-0.016004161358942583,-0.04997877446774925,-0.0900500605140819,-0.008603537999853118,-0.12147882083152968,0.012673994502041017,0.031877595804513444,NeuralProgenitor_RadialGlia
10,-0.07764119490501985,-0.23784731682037846,0.21257647056283735,0.27050632746093595,0.0011689230560298902,-0.040530665043921894,-0.09559497455444545,-0.011138802491034373,-0.08768002807188352,-0.004729771503038207,-0.0745149916548184,NeuralProgenitor_RadialGlia
11,-0.13944997059133218,-0.09650800762803571,-0.21723518239144157,0.1536285853466208,0.13984595664031765,0.04995001416689543,-0.09098670618242026,-0.009982580725809423,-0.13743166626397568,-0.028590876001217444,-0.0322982228779438,NeuralProgenitor_RadialGlia
12,-0.03758033457053948,-0.17537923216142917,0.24843613643992465,0.06151495196557814,-0.07249602727335587,-0.0522391879400517,0.32747606437695675,-0.002163193383287321,0.0770741415084506,-0.024772430138576492,-0.011397011626220291,Microglia_Myeloid
13,0.0554433422274235,-0.13980714592941235,-0.05171532209183713,0.09990213103193138,-0.05484002588879507,-0.030621362592852405,0.1960078789692252,0.41989220825163903,-0.0473195718595594,0.004892117517865193,-0.010414697790990407,T_NK_cell
14,-0.25623190074882163,-0.11832706858073685,0.05565444411524482,0.2889938773073478,0.04970926066607335,-0.016138891941567424,-0.10306998238495349,-0.016835259410248077,-0.1723520307393632,0.008177841287585055,0.7008271669700755,Proliferating
15,-0.17722595783726544,-0.27148491544759795,-0.02580880021718836,0.24310880797544188,0.021219771274658645,-0.03546922585244364,-0.07943231763150926,-0.011249537242499807,-0.12859066658133786,0.003656442401315621,-0.06509455620403597,NeuralProgenitor_RadialGlia
16,-0.29148946383463487,-0.2805065778133643,0.41954252117509605,0.5192424097121884,0.06900107329369236,-0.019138901381787175,-0.09937918252286841,-0.015034025906107534,-0.18742631980124022,0.031339189815030005,-0.04764645832016971,NeuralProgenitor_RadialGlia
17,-0.18931380670549583,-0.323708411799509,-0.28233651230354156,-0.10560301159561569,0.33363444539545095,0.4826001647895291,-0.11823633880019425,-0.011577573239137467,-0.18953228397682714,-0.026290421378068467,-0.10991157354983518,Neuron_Inhibitory
18,-0.1853894449857256,-0.34967934927921424,-0.3102700789910089,-0.14543204600419124,0.7844108733950146,-0.08342108965854872,-0.12936775037722684,-0.013000441213682873,-0.1922895469527422,-0.028475811565009813,-0.11631678829129298,Neuron_Excitatory
19,0.14634757073477345,-0.24046372692662393,0.17008063247992014,0.16753113574697157,-0.01351293378466191,-0.04794902708550049,0.18537721576759353,-0.013980168163917148,-0.03190418441109206,0.009401845332747712,-0.029983007972187028,Microglia_Myeloid
20,0.06569797903588187,-0.09893825631958662,0.11817598309365698,0.3590638466366918,0.9591721903036999,0.22160242212073641,-0.034676119944891545,-0.0052188224241043815,-0.05755601511211405,-0.004166280198539811,0.016223993983592255,Neuron_Excitatory
