group,names,scores,logfoldchanges,pvals,pvals_adj
0,TEX41,65.56687,4.078043,0.0,0.0
0,AC078923.1,58.006268,3.5060542,0.0,0.0
0,BRD9,56.040882,2.6716425,0.0,0.0
0,NAV3,55.747063,2.2760406,0.0,0.0
0,AL110292.1,54.315357,2.6330872,0.0,0.0
0,MDM2,53.61709,2.0957978,0.0,0.0
0,LRRTM4,49.76242,1.947771,0.0,0.0
0,KCNC2,41.24902,2.358388,0.0,0.0
0,DGKB,39.20553,1.7182434,0.0,0.0
0,LINC02408,36.906338,2.6545837,3.6567822331519515e-298,6.853825677769299e-295
1,BRD9,104.31497,6.836712,0.0,0.0
1,TERT,89.42929,5.6164565,0.0,0.0
1,SLC6A18,82.94783,6.811363,0.0,0.0
1,SLC12A7,82.10505,5.2179236,0.0,0.0
1,MDM2,73.88865,2.9022894,0.0,0.0
1,ZDHHC11,72.91915,4.1348686,0.0,0.0
1,KCNC2,72.13757,4.3244295,0.0,0.0
1,AC106799.2,69.04008,5.1642885,0.0,0.0
1,RAP1B,67.11611,3.1263614,0.0,0.0
1,NAV3,64.636086,2.7009578,0.0,0.0
2,PLP1,59.999634,3.417009,0.0,0.0
2,MDM2,57.906017,2.3152215,0.0,0.0
2,BRD9,45.51323,2.6889226,0.0,0.0
2,SLC35E3,41.60407,2.0385504,0.0,0.0
2,MT-CO1,40.045895,1.0756624,0.0,0.0
2,MT-CO3,33.895622,0.8543667,7.72823316035897e-252,4.2325876969323143e-250
2,FTL,33.825394,2.3150098,8.350565145808874e-251,4.500367672909808e-249
2,FTH1,30.044151,2.1139934,2.603210735980307e-198,7.643561409901446e-197
2,MT-CO2,29.684254,0.72124565,1.2261934296581475e-193,3.4675681254297504e-192
2,MT-ATP6,28.062563,0.6889508,2.8066225140751442e-173,6.367654590272572e-172
3,PLXDC2,108.38398,4.7709384,0.0,0.0
3,LRMDA,106.072945,5.529007,0.0,0.0
3,DOCK4,100.97764,3.1111255,0.0,0.0
3,DOCK8,99.98056,5.528414,0.0,0.0
3,APBB1IP,98.89295,5.685956,0.0,0.0
3,SFMBT2,97.64054,4.404777,0.0,0.0
3,MEF2A,97.5988,3.4186862,0.0,0.0
3,ARHGAP15,95.70374,5.1382494,0.0,0.0
3,TBXAS1,94.18779,5.211988,0.0,0.0
3,RBM47,93.19475,4.6815734,0.0,0.0
4,FLT1,33.18439,8.110843,1.8082960496368552e-241,6.100648382659858e-237
4,MECOM,32.948936,7.2868237,4.3816982180681515e-238,7.391267639148261e-234
4,ABCB1,32.671883,8.435651,3.9186464723247235e-234,4.406779201227307e-230
4,DOCK9,32.365078,5.152809,8.512966380876546e-230,7.180048669790801e-226
4,PTPRB,31.21178,7.3812633,7.374279470454581e-214,4.9757213298945245e-210
4,ERG,30.82795,9.169651,1.1064806999072126e-208,6.221556562128271e-205
4,ST6GALNAC3,30.655453,5.0368576,2.2355810711205948e-206,1.077454265662793e-202
